Power Lv,Str/Agi/Int,MaxHP (Player),MaxHP (Enemy),,0,Ability/Switch Skill,Skill,Effect,Description,,0,Buff,Skill,Effect,MaxStack X,Upgrade MaxStack X,ActivateType,Stack Decrease At / Tick,Stack Increase At,Removed Directly At,Description,,0,Passive,Skill,Effect,Max Stacks,ActiveType,PassiveType,Description,,0,SkillType,0,EffectType
,,,,,75,Inflict Blind,Debuff,Light,Inflict X Blind on the opponent,,75,Madness,Vulnerable,Insane,1,1,OnAction,N/A,N/A,TurnEnd,"With 20 or more Insane, 50% chance the next action's damage skill will also damage self by the half amount, heal skill will heal enemy as well by the half amount. With 40 stacks Insane, the effect is guaranteed. Remove half of Insane stack on activate",,75,Blind Reflect,Reflect,Light,N/A,GotBuff,JobOn,Enemy gain the same Blind effect stacks as you if they cast it on you,,,,,
,,,,,76,Inflict Depress,Debuff,Dark,Inflict X Depress on the opponent,,76,Afterimage,Sacrifice,Multiply,1,1,OnAction,N/A,N/A,OnAction,Use the next 0 AP cost ability on hand twice or increase the next Overload ability uses by 1 (Consumed on use. Enemy monsters will use any of their next ability twice) ,,76,Depress Reflect,Reflect,Dark,N/A,GotBuff,JobOn,Enemy gain the same Depress effect stacks as you if they cast it on you,,,,,
,,,,,77,Inflict Random status effects,Debuff,Element,Inflict X random elemental status effect on the opponent,,77,Gambling Token,InstantBoost,Dice,20,20,OnAction,N/A,N/A,OnAction,"With 10 or more stacks, the next Gamble skill execution x2, x3 if 20 stacks.",,77,Status Effects Reflect,Reflect,Element,N/A,GotBuff,JobOn,Enemy gain the same elemental status effect stacks as you if they cast it on you,,,,,
,,,,,78,Inflict Bleed,Debuff,Bleed,Inflict X Bleed on the opponent,,Applies,,,,,,,,,,,,78,Bleed Counter,Reflect,Bleed,N/A,GotBuff,JobOn,Enemy gain X Bleed for damaging you,,,,,
,,,,,79,Inflict Injury,Debuff,Injury,Inflict X Injury on the opponent,,1,Humanoid,ApplyOn,Humanoid,1,1,Multiple,N/A,N/A,N/A,"If race match, 25% more damage for enemy, 25% more heal on self",,79,Injury Counter,Reflect,Injury,N/A,GotBuff,JobOn,Enemy gain X Injury for damaging you,,,,,
,,,,,80,Inflict Venom,Debuff,Venom,Inflict X Venom on the opponent,,2,Beast,ApplyOn,Creature,1,1,Multiple,N/A,N/A,N/A,"If race match, 25% more damage for enemy, 25% more heal on self",,80,Venom Counter,Reflect,Venom,N/A,GotBuff,JobOn,Enemy gain X Venom for damaging you,,,,,
,,,,,81,Inflict Restrain,Debuff,Restrain,Inflict X Restrain on the opponent,,3,Spirit,ApplyOn,Spirit,1,1,Multiple,N/A,N/A,N/A,"If race match, 25% more damage for enemy, 25% more heal on self",,81,Restrain Counter,Reflect,Restrain,N/A,GotBuff,JobOn,Enemy gain X Restrain for damaging you,,,,,
,,,,,82,Inflict Insane,Debuff,Insane,Inflict X Insane on the opponent,,4,Inorganic,ApplyOn,Matter,1,1,Multiple,N/A,N/A,N/A,"If race match, 25% more damage for enemy, 25% more heal on self",,82,Insane Counter,Reflect,Insane,N/A,GotBuff,JobOn,Enemy gain X Insane for damaging you,,,,,
,,,,,83,Double Debuffs,Debuff,Multiply,Double opponents stat debuff,,5,Lifesteal,ApplyOn,LifeSteal,1,1,AfterGotAttack,N/A,N/A,N/A,"Add 50%, 100% if upgraeded life steal on ability's attack.",,83,Rage,Sacrifice,Charge,N/A,AttackEffect,AlwaysActive,"For every damage you deal to the enemy,  gain or stack buff: Boost damage dealt by 0.5X% . (Remove at turn end. Damage boost cap at 15%/30% if has 10 or more Rage stacks)",,,,,
,,,,,84,Raw Protect,Protect,Null,Add a Protect that absord x damage,,6,Strength Synergy,ApplyOn,Strength,20,20,Multiple,N/A,N/A,N/A,"Boost 2X% damage/heal, X = Strength Combo Counter (Max 100%)",,84,Instinct,Sacrifice,Guard,N/A,GotAttacked,AlwaysActive,"For every direct damage you take, gain or stack buff: Reduce direct damage received by 1X% . (Remove at turn start. Damage reduction cap at 15%/30% if has 10 or more Instinct stacks)",,,,,
,,,,,85,Strength Protect,Protect,Strength,Add X% Protect based on Str,,7,Agility Synergy,ApplyOn,Agility,40,40,Multiple,N/A,N/A,N/A,"Boost 1X% damage/heal, X = Agility Combo Counter (Max 100%)",,85,Protective Heal,Heal,Guard,4,AfterHeal,AlwaysActive,25% of excess Heal become protect on self per stack,,,,,
,,,,,86,Agility Protect,Protect,Agility,Add X% Protect based on Agi,,8,Intelligence Synergy,ApplyOn,Intelligence,40,40,Multiple,N/A,N/A,N/A,"Boost 1X% damage/heal, X = Intelligence Combo Counter (Max 100%)",,86,Aggressive Heal,Heal,Charge,4,AfterHeal,AlwaysActive,25% of excess Heal become damage to enemy per stack,,,,,
,,,,,87,Intelligence Protect,Protect,Intelligence,Add X% Protect based on Int,,9,Max HP Synergy,ApplyOn,MaxHP,20,20,Multiple,N/A,N/A,N/A,"Boost 2X% damage/heal, X = MaxHP Combo Counter (Max 100%)",,87,Burn,InstantNerf,Fire,N/A,CombatStart,AsBuff,Gain X Burn at the start of combat,,,,,
,,,,,88,Max HP Protect,Protect,MaxHP,Add X% Protect based on MaxHp,,10,Fire,ApplyOn,Fire,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's Burn or Earth element, boost damage and heal by 3% for each stack of corresponding element buff on self",,88,Chill,InstantNerf,Water,N/A,CombatStart,AsBuff,Gain X Chill at the start of combat,,,,,
,,,,,89,Burn Remove,Protect,Fire,Remove Burn from self,,11,Water,ApplyOn,Water,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's Chill or Fire element, boost damage and heal by 3% for each stack of corresponding element buff on self",,89,Paralysis,InstantNerf,Thunder,N/A,CombatStart,AsBuff,Gain X Paralysis at the start of combat,,,,,
,,,,,90,Chill Remove,Protect,Water,Remove Chill from self,,12,Thunder,ApplyOn,Thunder,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's distinct Paralysis or Water element,boost damage and heal by 3% for each stack of corresponding element buff on self",,90,Seed,InstantNerf,Earth,N/A,CombatStart,AsBuff,Gain X Seed at the start of combat,,,,,
,,,,,91,Paralysis Remove,Protect,Thunder,Remove Paralysis from self,,13,Earth,ApplyOn,Earth,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's Seeded or Thunder element, boost damage and heal by 3% for each stack of corresponding element buff on self",,91,Dizzy,InstantNerf,Wind,N/A,CombatStart,AsBuff,Gain X Dizzy at the start of combat,,,,,
,,,,,92,Seed Remove,Protect,Earth,Remove Seed from self,,14,Wind,ApplyOn,Wind,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's Dizzy or Earth element, boost damage and heal by 3% for each stack of corresponding element buff on self",,92,Blind,InstantNerf,Light,N/A,CombatStart,AsBuff,Gain X Blind at the start of combat,,,,,
,,,,,93,Dizzy Remove,Protect,Wind,Remove Dizzy from self,,15,Light,ApplyOn,Light,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's Blinded or Dark element, boost damage and heal by 3% for each stack of corresponding element buff on self",,93,Depress,InstantNerf,Dark,N/A,CombatStart,AsBuff,Gain X Depress at the start of combat,,,,,
,,,,,94,Blind Remove,Protect,Light,Remove Blind from self,,16,Dark,ApplyOn,Dark,N/A,N/A,Multiple,N/A,N/A,N/A,"Deal 20%/30% extra damage for enemy's Depressd or Light element, boost damage and heal by 3% for each stack of corresponding element buff on self",,94,Bleed,InstantNerf,Bleed,N/A,CombatStart,AsBuff,Gain X Bleed at the start of combat,,,,,
,,,,,95,Depress Remove,Protect,Dark,Remove Depress from self,,17,Chronocharge,ApplyOn,Charge,4,6,Multiple,N/A,TurnEnd,N/A,Add 15X% more damage/heal for every turn passed,,95,Injury,InstantNerf,Injury,N/A,CombatStart,AsBuff,Gain X Injury at the start of combat,,,,,
,,,,,96,Bleed Remove,Protect,Bleed,Remove Bleed from self,,18,Practice Perfect,ApplyOn,Action,5,8,Multiple,N/A,OnAction,N/A,Add 10X% more damage/heal for each time this ability used,,96,Venom,InstantNerf,Venom,N/A,CombatStart,AsBuff,Gain X Venom at the start of combat,,,,,
,,,,,97,Injury Remove,Protect,Injury,Remove Injury from self,,19,Focus Energy,ApplyOn,Buff,10,10,Multiple,N/A,GotBuff,N/A,Add 5X% more damage/heal for each unique buff,,97,Restrain,InstantNerf,Restrain,N/A,CombatStart,AsBuff,Gain X Restrain at the start of combat,,,,,
,,,,,98,Venom  Remove,Protect,Venom,Remove Venom from self,,20,Desperate Power,ApplyOn,Debuff,10,10,Multiple,N/A,GotBuff,N/A,Add 10X% more damage/heal for each unique debuff,,98,Insane,InstantNerf,Insane,N/A,CombatStart,AsBuff,Gain X Insane at the start of combat,,,,,
,,,,,99,Restrain Remove,Protect,Restrain,Remove Restrain from self,,21,Overloaded,ApplyOn,Multiply,N/A,N/A,OnAction,N/A,N/A,N/A,"Consume X AP and repeat this ability X times, X is the remaining AP. (Enemy monsters gain extra 2 times)",,99,Cursed,InstantNerf,Element,N/A,CombatStart,AsBuff,Gain X random elemental status effect at the start of combat,,,,,
,,,,,100,Insane Remove,Protect,Insane,Remove Insane from self,,22,Last Resort,ApplyOn,Draw,N/A,N/A,OnAction,N/A,N/A,N/A,Discard all hand and boost this ability attack and heal by 100% times per discard / Enemy monsters consume all AP instead and gain extra 2 times increase,,100,Weak Strength ,InstantNerf,Strength,N/A,CombatStart,AsBuff,Start combat with X Str debuff,,,,,
,,,,,101,Elemental Status Effect Remove,Protect,Element,"Remove elemental status effect from self: 0 = Common ES, 1 = Special ES, 2 = All ES",,23,Exhaust,ApplyOn,Exhaust,N/A,N/A,ActionCycleEnd,N/A,N/A,N/A,Remove this skill from this combat,,101,Weak Agility ,InstantNerf,Agility,N/A,CombatStart,AsBuff,Start combat with X Agi debuff,,,,,
,,,,,102,Debuff Remove,Protect,Debuff,Remove stat debuffs and vulnerables from self,,24,Curse,ApplyOn,Curse,N/A,N/A,OnAction,N/A,N/A,N/A,Cannot discard this skill for action,,102,Weak Intelligence ,InstantNerf,Intelligence,N/A,CombatStart,AsBuff,Start combat with X Int debuff,,,,,
,,,,,103,Second Chance,Protect,Guard,Gain X Second Chance buff,,25,Combo Blend,ApplyOn,Combo,N/A,N/A,OnAction,N/A,N/A,N/A,"If status combo is not zero, ignore the combo effects gain by this ability, increase the combo counter by 1, increased by 2 if upgraded ",,103,Weak Max HP,InstantNerf,MaxHP,N/A,CombatStart,AsBuff,Start combat with X MaxHP debuff,,,,,
,,,,,104,Recover skill,Protect,Draw,Recover one skill from the discard pile,,26,Scheduled,ApplyOn,Delay,N/A,N/A,TurnEnd,N/A,N/A,N/A,"This ability will excuted itself in the end of turn with half damage, heal and protect. (As hand abiliy: No AP cost. As hero ability: Cooldown -1.)",,104,Strength Master,Upgrade,Strength,1,Upgrade,AlwaysActive,"Str buff/act buff max stack increase,  Str required combo . 1",,,,,
,,,,,105,Strength Vulnerable,Vulnerable,Strength,Inflict Str Vulnerable on the opponent,,27,Automatic,ApplyOn,Direct,N/A,N/A,JobSwap,N/A,N/A,N/A,"This ability will excuted itself on job swap with half damage, heal and protect. (As hand abiliy: No AP cost. As hero ability: Cooldown -1.)",,105,Agility Master,Upgrade,Agility,1,Upgrade,AlwaysActive,"Agi buff/act buff max stack increase,  Agi required combo -1",,,,,
,,,,,106,Agility Vulnerable,Vulnerable,Agility,Inflict Agi Vulnerable on the opponent,,28,Gamble,ApplyOn,Dice,N/A,N/A,OnAction,N/A,N/A,N/A,"Roll a dice: Side 1,2 = Ability won't be executed, Side 3,4 = Normal Effect, Side 5 = Use the ability 2 times, Side 6 = Use the ability 3 times. 
For enemy randomly use abilities 1 to 3 times",,106,Intelligence Master,Upgrade,Intelligence,1,Upgrade,AlwaysActive,"Int buff/act buff max stack increase,  Int required combo -1",,,,,
,,,,,107,Intelligence Vulnerable,Vulnerable,Intelligence,Inflict Int Vulnerable on the opponent,,29,Grudge,ApplyOn,Sacrifice,N/A,N/A,AttackEffect,N/A,N/A,N/A,"The percentage of user's HP will affect the damage and healing of this ability.  (1.5% change per 1% of HP)
HP < 10%: Damage and healing are increased by 60%.
HP = 50%: Damage and healing are normal.
HP > 90%: Damage and Healing are decreased by 60%.",,107,Max HP Master,Upgrade,MaxHP,1,Upgrade,AlwaysActive,"MaxHP buff/act buff max stack increase,  MaxHP required combo -1",,,,,
,,,,,108,HP Vulnerable,Vulnerable,MaxHP,Inflict MaxHp Vulnerable on the opponent,,30,Favor,ApplyOn,Full,N/A,N/A,AttackEffect,N/A,N/A,N/A,"The percentage of user's HP will affect the damage and healing of this ability. (1% change per 1% of HP)
HP > 90%: Damage and Healing are increased by 40%.
HP = 50%: Damage and healing are normal.
HP < 10%: Damage and healing are decreased by 40%.",,108,Protect Master,Upgrade,Protect,1,Upgrade,AlwaysActive,Increase Max Protect amount and Protect Enhance max stacks,,,,,
,,,,,109,Protect Pierced,Vulnerable,Protect,Inflict Protect pierce on the opponent,,31,Elemental Burst,ApplyOn,Element,N/A,N/A,Multiple,N/A,N/A,N/A,"When the element of the attack matches the opponent's elemental vulnerable, remove the correspond vulnerable and further increase the damage by 5% per stack",,109,Debuff Master,Upgrade,Debuff,1,Upgrade,AlwaysActive,"Max stack increase for stat debuff, act debuff, Venom, Restrain and Insane",,,,,
,,,,,110,Fire Vulnerable,Vulnerable,Fire,Inflict Fire Vulnerable on the opponent,,,,,,,,,,,,,,110,Combo Master,Upgrade,Combo,1,Upgrade,AlwaysActive,All Stat combo required decrease. Combo blend effect increased by 1 (Excluding after each action passives' combo),,,,,
,,,,,111,Water Vulnerable,Vulnerable,Water,Inflict Water Vulnerable on the opponent,,,,,,,,,,,,,,111,Skilled Master,Upgrade,Multiply,1,Upgrade,AlwaysActive,"Max stack increase for turn Charge, Practice Perfect ",,,,,
,,,,,112,Thunder Vulnerable,Vulnerable,Thunder,Inflict Thunder Vulnerable on the opponent,,,,,,,,,,,,,,112,Charge Master,Upgrade,Charge,1,Upgrade,AlwaysActive,Upgrade Charge and Stack Charge,,,,,
,,,,,113,Earth Vulnerable,Vulnerable,Earth,Inflict Earth Vulnerable on the opponent,,,,,,,,,,,,,,113,Guard Master,Upgrade,Guard,1,Upgrade,AlwaysActive,Upgrad Guard and Stack Guard ,,,,,
,,,,,114,Wind Vulnerable,Vulnerable,Wind,Inflict Wind Vulnerable on the opponent,,,,,,,,,,,,,,114,Lifesteal Master,Upgrade,LifeSteal,1,Upgrade,AlwaysActive,"Normal attack gain 25% LifeSteal, life steal skills effect x2",,,,,
,,,,,115,Light Vulnerable,Vulnerable,Light,Apply Light Vulnerable on the opponent,,,,,,,,,,,,,,115,Humanoid Expert,Upgrade,Humanoid,1,Upgrade,AlwaysActive,"Apply humanoid expert to every attack and heal, increase existing humanoind ability's effect to 40%",,,,,
,,,,,116,Dark Vulnerable,Vulnerable,Dark,Apply Dark Vulnerable on the opponent,,,,,,,,,,,,,,116,Spirit Expert,Upgrade,Spirit,1,Upgrade,AlwaysActive,"Apply spirit expert to every attack and heal, increase existing spirit ability's effect to 40%",,,,,
,,,,,117,Bleed Vulnerable,Vulnerable,Bleed,Apply Bleed Vulnerable on the opponent,,,,,,,,,,,,,,117,Beast Expert,Upgrade,Creature,1,Upgrade,AlwaysActive,"Apply beast expert to every attack and heal, increase existing beast ability's effect to 40%",,,,,
,,,,,118,Injury Vulnerable,Vulnerable,Injury,Apply Injury Vulnerable on the opponent,,,,,,,,,,,,,,118,Inorganic Expert,Upgrade,Matter,1,Upgrade,AlwaysActive,"Apply inorganic expert to every attack and heal, increase existing inorganic ability's effect to 40%",,,,,
,,,,,119,Double Vulnerable,Vulnerable,Multiply,Double opponent's vulnerable debuffs,,,,,,,,,,,,,,119,Element Master,Upgrade,Element,1,Upgrade,AlwaysActive,"Max stack increase for all elemental buff, gain a pure element in the end of turn",,,,,
,,,,,120,Sacrifice Max HP,Sacrifice,MaxHP,Lose 10X% of Max HP,,,,,,,,,,,,,,120,Thunder Master,Upgrade,Thunder,1,Upgrade,AlwaysActive,Increase max stack for Thunder and Paralysis and element boost,,,,,
,,,,,121,Discard hand,Sacrifice,Draw,Discard 1 skill from hand,,,,,,,,,,,,,,121,Fire Master,Upgrade,Fire,1,Upgrade,AlwaysActive,"Increase max stack for Fire, Burn and element boost ",,,,,
,,,,,122,Fare Well,Sacrifice,Null,Deal 99999 damage to self,,,,,,,,,,,,,,122,Water Master,Upgrade,Water,1,Upgrade,AlwaysActive,"Increase max stack for Water, Chill and element boost",,,,,
,,,,,123,Paralyed On Self,Sacrifice,Thunder,Gain X Paralysis,,,,,,,,,,,,,,123,Wind Master,Upgrade,Wind,1,Upgrade,AlwaysActive,"Increase max stack for Wind, Dizzy and element boost",,,,,
,,,,,124,Burned On Self,Sacrifice,Fire,Gain X Burn ,,,,,,,,,,,,,,124,Earth Master,Upgrade,Earth,1,Upgrade,AlwaysActive,"Increase max stack for Earth, Seed and element boost",,,,,
,,,,,125,Chill On Self,Sacrifice,Water,Gain X Chill ,,,,,,,,,,,,,,125,Light Master,Upgrade,Light,1,Upgrade,AlwaysActive,"Increase max stack for Light, Blind and element boost",,,,,
,,,,,126,Dizzy On Self,Sacrifice,Wind,Gain X Dizzy ,,,,,,,,,,,,,,126,Dark Master,Upgrade,Dark,1,Upgrade,AlwaysActive,"Increase max stack for Dark, Depress and element boost",,,,,
,,,,,127,Seeded On Self,Sacrifice,Earth,Gain X Seed ,,,,,,,,,,,,,,127,Bleed Master,Upgrade,Bleed,1,Upgrade,AlwaysActive,"Increase Bleed max stacks, trigger bleed damage on inflict",,,,,
,,,,,128,Blinded On Self,Sacrifice,Light,Gain X Blind ,,,,,,,,,,,,,,128,Injury Master,Upgrade,Injury,1,Upgrade,AlwaysActive,Increase Injury max stacks,,,,,
,,,,,129,Depress On Self,Sacrifice,Dark,Gain X Depress ,,,,,,,,,,,,,,129,Curse Master,Upgrade,Curse,1,Upgrade,AlwaysActive,"Cursed skills can be discarded for action, remove all negative effect on self from curse abilities. Reduce loose 20% MaxHP by using any none exhaust or curse abilities. Able to skip optional curses.",,,,,
,,,,,130,Bleeding On Self,Sacrifice,Bleed,Gain X Bleed ,,,,,,,,,,,,,,130,Invulnerable,Protect,Direct,0/1/2 different,CombatStart,AlwaysActive,"Gain Invulnerable buff when HP reached 49% =1, 29% =2, 0 = Start the combat with Invulnerable buff if HP is full",,,,,
,,,,,131,Injured On Self,Sacrifice,Injury,Gain X Injury ,,,,,,,,,,,,,,131,Start Charge,InstantBoost,Charge,3,CombatStart,AsBuff,"Start the combat with Charge, Stack Charge or Both (Multiplier 1, 2 or 3)",,,,,
,,,,,132,Venom On Self,Sacrifice,Venom,Gain X Venom ,,,,,,,,,,,,,,132,Start Guard,InstantBoost,Guard,3,CombatStart,AsBuff,"Start the combat with both Guard,  Stack Guard or Both (Multiplier 1, 2 or 3)",,,,,
,,,,,133,Restrain On Self,Sacrifice,Restrain,Gain X Restrain,,,,,,,,,,,,,,133,After Action Venom,ActionDebuff,Venom,N/A,AfterAction,JobOn,Apply X Venom to enemy after every actions,,,,,
,,,,,134,Insane On Self,Sacrifice,Insane,Gain X Insane ,,,,,,,,,,,,,,134,After Action Restrain,ActionDebuff,Restrain,N/A,AfterAction,JobOn,Apply X Restrain to enemy after every actions,,,,,
,,,,,135,Cursed On Self,Sacrifice,Element,Gain X random elemental status effect ,,,,,,,,,,,,,,135,After Action Insane,ActionDebuff,Insane,N/A,AfterAction,JobOn,Apply X Insane to enemy after every actions,,,,,
,,,,,136,Debuff Strength On Self,Sacrifice,Strength,Gain X strength debuff,,,,,,,,,,,,,,136,Venom Absorption,Drain,Venom,N/A,GotBuff,JobOn,"On receiving Venom, heal for 10% self Str and Str Instant boost per stack",,,,,
,,,,,137,Debuff Agility On Self,Sacrifice,Agility,Gain X agiity debuff,,,,,,,,,,,,,,137,Restrain Absorption,Drain,Restrain,N/A,GotBuff,JobOn,"On receiving Restrain, heal for 10% self Agi and Agi Instant boost per stack",,,,,
,,,,,138,Debuff Intelligence On Self,Sacrifice,Intelligence,Gain X intelligence debuff,,,,,,,,,,,,,,138,Insane Absorption,Drain,Insane,N/A,GotBuff,JobOn,"On receiving Insane, heal for 10% self Int and Int Instant boost per stack",,,,,
,,,,,139,Paralyed (Ability become Passive),Curse,Thunder,Gain X Paralysis at the start of combat,,,,,,,,,,,,,,139,Jack-of-all-Trades,Upgrade,Null,N/A,Upgrade,AlwaysActive,"On every Hero level up, increase direct damage, heal and protect (Without multiplier) value by 10% ",,,,,
,,,,,140,Burned (Ability become Passive),Curse,Fire,Gain X Burn at the start of combat,,,,,,,,,,,,,,140,Auto Protect,Protect,LifeSteal,N/A,AfterGotAttack,JobOn,"When attacked, gain protect equal to 10X% of damage received",,,,,
,,,,,141,Chill (Ability become Passive),Curse,Water,Gain X Chill at the start of combat,,,,,,,,,,,,,,141,Gold Digger,Buff,Gold,N/A,Grind,Grind,Increase gold gain by 10% (Stack with secondary character),,,,,
,,,,,142,Dizzy (Ability become Passive),Curse,Wind,Gain X Dizzy at the start of combat,,,,,,,,,,,,,,142,Crystal Digger,Buff,Crystal,N/A,Grind,Grind,Increase crystal gain by 10% (Stack with secondary character),,,,,
,,,,,143,Seeded (Ability become Passive),Curse,Earth,Gain X Seed at the start of combat,,,,,,,,,,,,,,143,Counter Master,Upgrade,Reflect,1,Upgrade,AlwaysActive,"Can reflect with protect on, Protect Reflect deal double damage",,,,,
,,,,,144,Blinded (Ability become Passive),Curse,Light,Gain X Blind at the start of combat,,,,,,,,,,,,,,144,Stack Strength,ActionBuff,Strength,N/A,AfterAction,JobOn,Gain X Str Action Buff in the end of every action.,,,,,
,,,,,145,Depress (Ability become Passive),Curse,Dark,Gain X Depress at the start of combat,,,,,,,,,,,,,,145,Stack Agility,ActionBuff,Agility,N/A,AfterAction,JobOn,Gain X Agi Action Buff in the end of every action.,,,,,
,,,,,146,Bleeding (Ability become Passive),Curse,Bleed,Gain X Bleed at the start of combat,,,,,,,,,,,,,,146,Stack Intelligence,ActionBuff,Intelligence,N/A,AfterAction,JobOn,Gain X Int Action Buff in the end of every action.,,,,,
,,,,,147,Injured (Ability become Passive),Curse,Injury,Gain X Injury at the start of combat,,,,,,,,,,,,,,147,Stack Max HP,ActionBuff,MaxHP,N/A,AfterAction,JobOn,Gain X MaxHP Action Buff in the end of every action.,,,,,
,,,,,148,Venomed (Ability become Passive),Curse,Venom,Gain X Venom at the start of combat,,,,,,,,,,,,,,148,Strength Drain,Drain,Strength,N/A,AfterGotAttack,JobOn,"When hit by Str attack, gain X Str Action Buff and inflict X Str Action Debuff to the opponent in the end of opponent's action",,,,,
,,,,,149,Restrained (Ability become Passive),Curse,Restrain,Gain X Restrain at the start of combat,,,,,,,,,,,,,,149,Agility Drain,Drain,Agility,N/A,AfterGotAttack,JobOn,"When hit by Agi attack, gain X Agi Action Buff and inflict X Agi Action Debuff to the opponent in the end of opponent's action",,,,,
,,,,,150,Insane (Ability become Passive),Curse,Insane,Gain X Insane at the start of combat,,,,,,,,,,,,,,150,Intelligence Drain,Drain,Intelligence,N/A,AfterGotAttack,JobOn,"When hit by Int attack, gain X Int Action Buff and inflict X Int Action Debuff to the opponent in the end of opponent's action",,,,,
,,,,,151,Cursed (Ability become Passive),Curse,Element,Gain X random elemental status effect at the start of combat,,,,,,,,,,,,,,151,Max HP Drain,Drain,MaxHP,N/A,AfterGotAttack,JobOn,"When hit by MaxHP attack, gain X MaxHP Action Buff and inflict X MaxHP Action Debuff to the opponent in the end of opponent's action",,,,,
,,,,,152,Weak Strength  (Ability become Passive),Curse,Strength,Start with X Str debuff,,,,,,,,,,,,,,152,Tenacity,Protect,Delay,1,GotBuff,AlwaysActive,"Half any damage over time effects received. (Burn, Venom, Restrain, Insane, Bleed)",,,,,
,,,,,153,Weak Agility  (Ability become Passive),Curse,Agility,Start with X Agi debuff,,,,,,,,,,,,,,153,Turn End Inflict Bleed,TurnDebuff,Bleed,N/A,TurnEnd,JobOn,Inflict X Bleed to the opponent in the end of turn,,,,,
,,,,,154,Weak Intelligence  (Ability become Passive),Curse,Intelligence,Start with X int debuff,,,,,,,,,,,,,,154,Turn End Inflict Injury,TurnDebuff,Injury,N/A,TurnEnd,JobOn,Inflict X Injury to the opponent in the end of turn,,,,,
,,,,,155,Weak MaxHP  (Ability become Passive),Curse,MaxHP,Start with X MaxHP debuff,,,,,,,,,,,,,,155,Confuse,InstantNerf,Confuse,3,CombatStart,AsBuff,Gain X Confuse at the start of combat,,,,,
,,,,,156,Do nothing ,Null,Null,Do nothing,,,,,,,,,,,,,,156,Slack,InstantNerf,Slack,2,CombatStart,AsBuff,Gain X Slack at the start of combat,,,,,
,,,,,157,Invulnerable,Protect,Direct,Gain an Invulnerable buff,,,,,,,,,,,,,,157,Cheater's Hand,Buff,Dice,1,BeforeAction,AlwaysActive,"During battle, dice side+1 if you roll anything from 2 to 4",,,,,
,,,,,158,Pass Turn,InstantBoost,Direct,"Skip X turn, trigger player and enemy turn start and end passives X times",,,,,,,,,,,,,,158,Ruler Of Luck,Upgrade,Dice,1,BeforeAction,AlwaysActive,Reroll the dice once if you get a side of 1,,,,,
,,,,,159,Removal attack,Damage,Debuff,"Remove all debuffs from opponent, for each distinct debuff removed, deal X% damage to enemy of highest stat",,,,,,,,,,,,,,159,Before Dawn,Sacrifice,Exhaust,1,TurnEnd,AlwaysActive,"While this passive is active, trigger Sudden Death on turn 5 for player, and turn 1 for enemy instead of turn 20.",,,,,
,,,,,160,Removal heal,Heal,Buff,"Remove all buffs from self, for each distinct buff removed, heal X% HP of highest Stat",,,,,,,,,,,,,,160,Empathic Masochism,Sacrifice,Curse,0,OnAction,AlwaysActive,"When using abilities that lose HP, half of the damage will goes to the opponent",,,,,
,,,,,161,Swap Buffs,Sacrifice,Buff,Swap all your buffs with your opponent's buff (exclude protect and second chance),,,,,,,,,,,,,,161,Element Talent,Buff,Element,5/10,Multtiple,AlwaysActive,Buff all element damage and heal by 5X%,,,,,
,,,,,162,Swap Debuffs,Sacrifice,Debuff,Swap all your debuffs with your opponent's debuff,,,,,,,,,,,,,,162,Fire Talent,Buff,Fire,5/10,Multtiple,AlwaysActive,Buff Fire damage and heal by 5X%,,,,,
,,,,,163,Discard HP Attack,Discard,MaxHP,"Player: For each HP abilities in the discard pile, deal X damage. Enemy: For every single abilities in player's discard pile, deal combine X damage. (Max 20x)",,,,,,,,,,,,,,163,Water Talent,Buff,Water,5/10,Multtiple,AlwaysActive,Buff Water damage and heal by 5X%,,,,,
,,,,,164,Discard Str Attack,Discard,Strength,"Player: For each Str abilities in the discard pile, deal X damage. Enemy: For every single abilities in player's discard pile, deal combine X damage. (Max 20x)",,,,,,,,,,,,,,164,Thunder Talent,Buff,Thunder,5/10,Multtiple,AlwaysActive,Buff Thunder damage and heal by 5X%,,,,,
,,,,,165,Discard Agi Attack,Discard,Agility,"Player: For each Agi abilities in the discard pile, deal X damage. Enemy: For every single abilities in player's discard pile, deal combine  X damage. (Max 20x)",,,,,,,,,,,,,,165,Earth Talent,Buff,Earth,5/10,Multtiple,AlwaysActive,Buff Earth damage and heal by 5X%,,,,,
,,,,,166,Discard Int Attack,Discard,Intelligence,"Player: For each Int abilities in the discard pile, deal X damage. Enemy: For every single abilities in player's discard pile, deal combine  X damage. (Max 20x)",,,,,,,,,,,,,,166,Wind Talent,Buff,Wind,5/10,Multtiple,AlwaysActive,Buff Wind damage and heal by 5X%,,,,,
