0,Ability Description,Ability Name,Ability Tier,Cost,Skill Unit 1,,Multiplier,SkillUnit 2,,Multiplier,SkillUnit 3,,Multiplier,SkillUnit 4,,,Apply1,Apply2,Apply3,IconImage
187,Remove all Blind and Light Vulnerable from self. Deal 100% of Agility damage to the opponent,Mark Shot,Medium,0,Protect,Light,0,Damage,Agility,5,,,,,,,,,,MarkShoot
188,Deal 150% of Strength damage to the opponent,Power Shot,Medium,1,Damage,Strength,6,,,,,,,,,,,,,Reticule
189,"Apply 1 Water Element, 1 Agility Buff and 4 Water Boost on self.",Swim,Medium,1,Buff,Water,1,Buff,Agility,1,InstantBoost,Water,4,,,,,,,DoubleFish
190,"Apply 1 Wind Element, 1 Agility Buff and 4 Wind Boost on self.",Fly,Medium,1,Buff,Wind,1,Buff,Agility,1,InstantBoost,Wind,4,,,,,,,FluffyWing
191,Protect 10/15% maxHP damage. Deal 70% of your protect as damage to the opponent.,Shield Bash,Medium,1,Protect,MaxHP,2,Damage,Protect,4,,,,,,,,,,ShieldBash
192,Remove all Elemental Status Effects and Elemental Vulnerable from self.,Remedy,Master,0,Protect,Element,2,Protect,Null,400,,,,,,,Exhaust,,,Remedy
193,Remove all Stat Debuffs and Stat Vulnerables from self.,Miracle Drop,Medium,0,Protect,Debuff,0,,,,,,,,,,Exhaust,,,Dew
194,Apply 5 Agility Action Buff on self. Deal 40% of Agility and 40% of Agility damage to the opponent.,Assault Rifle,Medium,1,InstantBoost,Agility,5,Damage,Agility,3,Damage,Agility,3,,,,,,,AssaultRifle
195,Apply 5 Strength Action Buff on self. Deal 40% of Strength and 40% of strength damage to the opponent.,Shot Gun,Medium,1,InstantBoost,Strength,5,Damage,Strength,3,Damage,Strength,3,,,,,,,ShotGun
196,Deal 40% of Agility and 40% of Agility damage to the opponent. Apply 1 Bleed to the opponent.,Dagger Throw,Medium,1,Damage,Agility,3,Damage,Agility,3,Debuff,Bleed,1,,,,,,,Dagger
197,Next turn draw +2.,Draw Next,High,0,Buff,Draw,2,,,,,,,,,,Exhaust,,,Exchange
198,"Apply 1 Thunder Element, 3 Thunder Boosts and 2 Agility Action Buff on self. ",Lightning Step,High,0,Buff,Thunder,1,InstantBoost,Thunder,3,InstantBoost,Agility,2,,,,,,,QuakeStomp
199,Deal 100% of Strength and 100% of Agility damage to the opponent. ,Cross Slash,High,1,Damage,Strength,5,Damage,Agility,5,,,,,,,,,,CrossSlash
200,"Deal 40% of agility, 40% of Agility and 40% of Agility damage to the opponent.",Triple Slash,High,1,Damage,Agility,3,Damage,Agility,3,Damage,Agility,3,,,,,,,DoubleSlash
201,Action +2.,Nap,Master,0,InstantBoost,Action,2,,,,,,,,,,Exhaust,,,Tent
202,"Deal 40% of Agility, 25% of Agility and 25% of Agility damage to the opponent",Precise Stab,High,1,Damage,Agility,3,Damage,Agility,2,Damage,Agility,2,,,,Humanoid,Creature,,Dagger
203,Apply 2 Fire element to self.,Fire Spirit,High,0,Buff,Fire,2,,,,,,,,,,,,,Fire
204,Apply 2 Water element to self.,Water Spirit,High,0,Buff,Water,2,,,,,,,,,,,,,Water
205,Apply 2 Thunder element to self.,Thunder Spirit,High,0,Buff,Thunder,2,,,,,,,,,,,,,Thunder
206,Apply 2 Earth element to self.,Earth Spirit,High,0,Buff,Earth,2,,,,,,,,,,,,,Earth
207,Apply 2 Wind element to self.,Wind Spirit,High,0,Buff,Wind,2,,,,,,,,,,,,,Wind
208,Apply 2 Light element to self.,Light Spirit,High,0,Buff,Light,2,,,,,,,,,,,,,Light
209,Apply 2 Dark element on self,Dark Spirit,High,0,Buff,Dark,2,,,,,,,,,,,,,Dark
210,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 1 Burn to the opponent.,Thunder Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Thunder,1,Thunder,,,Bite
211,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 1 Paralysis to the opponent.,Fire Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Fire,1,Fire,,,Bite
212,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 1 Chill to the opponent.,Ice Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Water,1,Water,,,Bite
213,,Aero Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Wind,1,Wind,,,Bite
214,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 1 Seed to the opponent.,Wood Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Earth,1,Earth,,,Bite
215,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 1 Depress to the opponent.,Night Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Dark,1,Dark,,,Bite
216,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 1 Blind to the opponent,Bright Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Light,1,Light,,,Bite
217,Deal 100% of Agility and 40% of Strength damage to the opponent. Apply 1 Bleed and 4 Venom to the opponent,Poison Fang,High,1,Damage,Agility,5,Damage,Strength,3,Debuff,Bleed,1,Debuff,Venom,4,,,,Bite
218,"Apply 4 Agility Action Buff on self. Deal 70% of Agility, 70% of Agility and 70% of Agility damage to the opponent.",Machine Gun,High,2,InstantBoost,Agility,4,Damage,Agility,4,Damage,Agility,4,Damage,Agility,4,,,,MachineGun
219,Apply 1 Agility Buff on self. Recover 25% of Agility and 35% of Agility health,Chakra,High,1,Buff,Agility,1,Heal,Agility,2,Heal,Agility,2,,,,Action,,,Meditation
220,Deal 100% of Intelligence and 250 damage to the opponent,Dark Pulse,High,0,Damage,Intelligence,5,Damage,Null,250,,,,,,,Dark,Spirit,,MagicPalm
221,Deal 70% of Agility and 100% of Intelligence damage to the opponent. Apply 1 chill and 2 Paralysis to the opponent.,Element Fuse . Thunder Storm,High,2,Damage,Agility,4,Damage,Intelligence,5,Debuff,Water,1,Debuff,Thunder,2,Thunder,Water,Wind,Storm
222,"Deal 40% of Intelligence, 70% of Intelligence and 70% of Agility damage to the opponent. Apply 7 Venom to the opponent.",Element Fuse . Plague,High,2,Damage,Intelligence,3,Damage,Intelligence,4,Damage,Agility,4,Debuff,Venom,7,Dark,Wind,,Vomiting
223,Remove all Stat Debuffs and Stat Vulnerables from self. Protect 70% Intelligence damage from attacks.Recover 70% Intelligence health.,Element Fuse . Aurora,High,1,Protect,Debuff,0,Protect,Intelligence,4,Heal,Intelligence,4,,,,Light,Wind,Thunder,Sunrise
224,Remove all Stat Debuffs and Stat Vulnerables from self. Recover 20% / 5% and 15% / 25% axHP health.,Element Fuse . Synthesis,High,2,Protect,Element,2,Heal,MaxHP,4,Heal,MaxHP,2,,,,Earth,Light,Water,SolidLeaf
225,Deal 100% of Intelligence damage to the opponent. Apply 1 Chill and 2 Depress to the opponent.,Element Fuse . Thrill Cold,High,1,Damage,Intelligence,5,Debuff,Water,1,Debuff,Dark,2,,,,Dark,Water,,ThermometerCold
226,Apply 4 Protect Pierce and 2 Intelligence Vulnerable to the opponent. Deal 100%  of Intelligence damage to the opponent. Apply 1 Intelligence Debuff to the opponent.,Magic Disarm,High,1,Vulnerable,Protect,4,Vulnerable,Intelligence,2,Damage,Intelligence,5,Debuff,Intelligence,1,,,,DropWeapon
227,Apply 8 Agility Action Buff on self.  Deal 100% of Agility damage to the opponent,Blitz Blade,High,1,InstantBoost,Agility,8,Damage,Agility,5,,,,,,,,,,CrossSlash
228,"Deal 40% of Agility, 40% of Agility and 70% of Agility damage to the opponent.",Sonic Thrust,High,1,Damage,Agility,2,Damage,Agility,3,Damage,Agility,4,,,,Agility,Action,,Divert
229,Lose 10% of current Max Health. Deal 200% of Strength to the opponent. Apply 1 Strength Vulnerable to the opponent.,Dynamite,High,1,Sacrifice,MaxHP,1,Damage,Strength,7,Sacrifice,Strength,1,,,,,,,Dynamite
230,Deal 40% of Intelligence and 40% of Intelligence damage to the opponent. Apply 2 Burn to the opponent. ,Elemental Spell . Blaze,High,1,Damage,Intelligence,3,Damage,Intelligence,3,Debuff,Fire,2,,,,Fire,,,FireWave
231,Deal 40% of Intelligence and 40% of Intelligence damage to the opponent. Apply 2 Paralysis to the opponent.,Elemental Spell . Lightning,High,1,Damage,Intelligence,3,Damage,Intelligence,3,Debuff,Thunder,2,,,,Thunder,,,ThunderStruck
232,Deal 40% of Intelligence and 40% of Intelligence damage to the opponent. Apply 2 Chill to the opponent,Elemental Spell . Terra,High,1,Damage,Intelligence,3,Damage,Intelligence,3,Debuff,Earth,2,,,,Earth,,,PlanetEarth
233,Deal 40% of Intelligence and 40% of Intelligence damage to the opponent. Apply 2 Seed to the opponent,Elemental Spell . Frost,High,1,Damage,Intelligence,4,Damage,Intelligence,3,Debuff,Water,1,,,,Water,,,IceSpell
234,Deal 40% of Intelligence and 40% of Intelligence damage to the opponent. Apply 2 Dizzy to the opponent,Elemental Spell . Aero,High,1,Damage,Intelligence,3,Damage,Intelligence,3,Debuff,Wind,2,,,,Wind,,,SwirlWind
235,Deal 40% of Intelligence and 40% of Intelligence damage to the opponent. Apply 2 Blind to the opponent,Elemental Spell . Gleam,High,1,Damage,Intelligence,3,Damage,Intelligence,3,Debuff,Light,2,,,,Light,,,ShinyIris
236,Deal 40% of Intelligence and 40% ofdamage to the opponent. Apply 2 Depress to the opponent.,Elemental Spell . Gloom,High,1,Damage,Intelligence,3,Damage,Intelligence,3,Debuff,Dark,2,,,,Dark,,,SpikyEclipse
237,"Recover 70% of Agility, 40% of Agility, 25% of Agility and 25% of Agility health.",Muscle Straining,High,2,Heal,Agility,4,Heal,Agility,3,Heal,Agility,2,Heal,Agility,2,Humanoid,,,InternalOrgan
238,"Lose 10% of current Max Health. Recover 70% of Strength, 70% of Agility and 70% of Intelligence health. ",Gemstone Heal,High,1,Sacrifice,MaxHP,1,Heal,Strength,4,Heal,Agility,4,Heal,Intelligence,4,Combo,,,Gem
239,Lose 10% of current Max Health. Deal 200% of Strength damage to the opponent. (Negative Power),Wing Blade,High,2,Damage,Strength,7,Debuff,Bleed,3,,,,,,,Wind,,,CurlyWing
240,Action Points +2. Apply 3 Seed on self.,Seed Generate,Master,0,InstantBoost,Action,2,Sacrifice,Earth,3,,,,,,,Exhaust,,,Sprout
241,Remove all Stat Debuffs and Stat Vulnerables from self. Protect 70% Intelligence and 40% Intelligence damage from attacks,Force Barrier,High,2,Protect,Debuff,0,Buff,Intelligence,1,Protect,Intelligence,5,Protect,Intelligence,2,,,,CagedBall
242,"Consume all Fire Elements, for each element consumed, deal 25% Fire damage based on your strongest attribute [Fire Final at Max Stacks]. Apply 2 Burn to the opponent.",Flamethrower,High,1,Damage,Fire,2,Debuff,Fire,2,,,,,,,Fire,,,DragonBreath
243,Apply 1 Bleed Vulnerable and 1 Injury Vulnerable to the opponent. Apply 2 Bleed and 4 Injury to the opponent.,Wound Shatter,High,2,Vulnerable,Bleed,1,Vulnerable,Injury,1,Debuff,Bleed,2,Debuff,Injury,4,,,,BleedingWound
244,"Deal 5% / 10% of MaxHP, 100% of Strength and 100% of Strength damage to the opponent. Apply 1 Dizzy to the opponent.",Magnitude 10,High,2,Damage,MaxHP,1,Damage,Strength,5,Damage,Strength,5,Debuff,Wind,1,Earth,,,Earth
245,,Typhoon,High,2,Vulnerable,Wind,2,Vulnerable,Water,3,Damage,Agility,4,Damage,Agility,5,Wind,Water,Exhaust,EntangledTyphoon
246,,Hurricane,High,2,Vulnerable,Wind,2,Vulnerable,Water,3,Damage,Strength,4,Damage,Strength,5,Wind,Water,Exhaust,EntangledTyphoon
247,Apply 2 Wind Vulnerable and 3 Water Vulnerable to the opponent. Deal 70% of Intelligence and 100% of Intelligence damage to the opponent. ,Cyclone,High,2,Vulnerable,Wind,2,Vulnerable,Water,3,Damage,Intelligence,4,Damage,Intelligence,5,Wind,Water,Exhaust,EntangledTyphoon
248,Apply 4 Fire Vunerable to the opponent. ,Exposed Fire,High,0,Vulnerable,Fire,4,,,,,,,,,,,,,VulnerableFire
249,Apply 4 Water Vunerable to the opponent. ,Exposed Water,High,0,Vulnerable,Water,4,,,,,,,,,,,,,VulnerableWater
250,Apply 4 Thunder Vunerable to the opponent. ,Exposed Thunder,High,0,Vulnerable,Thunder,4,,,,,,,,,,,,,VulnerableThunder
251,Apply 4 Earth Vunerable to the opponent. ,Exposed Earth,High,0,Vulnerable,Earth,4,,,,,,,,,,,,,VulnerableEarth
252,Apply 4 Wind Vunerable to the opponent. ,Exposed Wind,High,0,Vulnerable,Wind,4,,,,,,,,,,,,,VulnerableWind
253,Apply 4 Light Vunerable to the opponent. ,Exposed Light,High,0,Vulnerable,Light,4,,,,,,,,,,,,,VulnerableLight
254,Apply 4 Dark Vulnerable to the opponent.,Exposed Dark,High,0,Vulnerable,Dark,4,,,,,,,,,,,,,VulnerableDark
255,Apply 1 Bleed Vulnerable to the opponent,Exposed Bleed,High,0,Vulnerable,Bleed,1,,,,,,,,,,,,,VulnerableBleed
256,Apply 1 Injury Vulnerable to the opponent,Exposed Injury,High,0,Vulnerable,Injury,1,,,,,,,,,,,,,VulnerableInjury
257,Apply 2 Strength Vulnerable to the opponent. Deal 70% of Strength damage to the opponent.,Exposed Strength,High,0,Vulnerable,Strength,2,Damage,Strength,4,,,,,,,,,,VulnerableS
258,Apply 2 Agility Vulnerable to the opponent. Deal 70% of agility damage to the opponent.,Exposed Agility,High,0,Vulnerable,Agility,2,Damage,Agility,4,,,,,,,,,,VulnerableA
259,Apply 2 Intelligence Vulnerable to the opponent. Deal 70% of Intelligence damage to the opponent.,Exposed Intelligence,High,0,Vulnerable,Intelligence,2,Damage,Intelligence,4,,,,,,,,,,VulnerableI
260,Apply 4 Seed and 5 Restrain to the opponent.,Leech Seed,High,1,Debuff,Earth,4,Debuff,Restrain,5,,,,,,,Exhaust,,,Sprout
261,Deal 150% of Agility damage to the opponent. Apply 1 Blind to the opponent.,High Jump,High,1,Damage,Agility,6,Debuff,Light,1,,,,,,,,,,UpArrow
262,Lose 10% of Max Health and Draw 2 abilities.,Supplement,Master,0,Sacrifice,MaxHP,1,InstantBoost,Draw,2,,,,,,,Exhaust,,,Bag
263,Draw 3 Abilities. Apply 12 Insane on self,Crazy Draw,Master,0,InstantBoost,Draw,3,Sacrifice,Insane,12,,,,,,,Exhaust,,,Pick
264,Apply 7 Protect Pierce to the opponent. Deal 200% of Agility damage to the opponent. Apply 1 Bleed to the opponent.,Assassinate,High,2,Vulnerable,Protect,7,Damage,Agility,7,Debuff,Bleed,1,,,,Humanoid,,,BackStab
265,Apply Guard on self. Recover 10% / 15% and 10%  / 15% of  MaxHP Health,Regenerate,High,2,InstantBoost,Guard,0,Heal,MaxHP,2,Heal,MaxHP,2,Heal,MaxHP,1,,,,Regeneration
266,Draw 1 ability. Apply 1 Intelligence Buff on self. Protect 100% Intelligence damage from attacks.,Magic Barrier,High,2,Buff,Intelligence,1,InstantBoost,Draw,1,Protect,Intelligence,5,,,,,,,StoneSphere
267,Remove all PAralysis and Thunder Vulnerable from self. Protect 70% Intelligence and 70% Intelligence health.,Mechanic Barrier,High,1,Protect,Thunder,0,Protect,Intelligence,4,Heal,Intelligence,4,,,,Matter,,,StoneSphere
268,,Icicles Crash,High,2,Damage,Strength,6,Debuff,Bleed,2,Debuff,Injury,4,,,,Water,,,IciclesFence
269,,Back To Nature,High,2,Buff,Strength,2,Heal,Strength,6,,,,,,,Earth,Creature,Exhaust,PlantsAndAnimals
270,Apply 2 Agility Buff on self. Recover 100% of Agility health.,Medical Pack,High,2,Buff,Agility,2,Heal,Agility,6,,,,,,,,,,MedicalPack
271,"Deal 40% of Agility, 25% of Agility and 25% of Agility damage to the opponent",Frenzy Slash,High,1,Damage,Agility,3,Damage,Agility,2,Damage,Agility,2,,,,Multiply,Exhaust,,AllForOne
272,"Deal 70% of Strength, 25% of Strength and 10% of Strength damage to the opponent ",Frenzy Punches,High,1,Damage,Strength,4,Damage,Strength,2,Damage,Strength,1,,,,Multiply,Exhaust,,Punches
273,Deal 10% of Strength and 100% of Strength damage to the opponent. Apply 2Burn to the opponent.,Lava Plume,High,1,Damage,Strength,1,Damage,Strength,5,Debuff,Fire,2,,,,Fire,Earth,,Volcano
274,Deal 15% / 25% of MaxHP damage to the opponent. Apply 4 Injury to the opponent.,Frozen Slam,High,1,Damage,MaxHP,3,Debuff,Injury,4,,,,,,,Water,,,IceBergs
275,,Grass Knot,High,1,Damage,MaxHP,2,Debuff,MaxHP,1,Debuff,Restrain,6,,,,Earth,,,Grass
276,Apply 1 Element on self. Protect 100% damage frpm attacks. Recover 100 health,Elemental Spirits,High,0,Buff,Element,1,Protect,Null,200,Heal,Null,200,,,,Combo,,,TripleYin
277,Deal 200% of Strength damage to the opponent. Apply 4 Injury to the opponent.,Mega Punch,High,2,Damage,Strength,7,Debuff,Injury,4,,,,,,,,,,PunchBlast
278,Double the stacks of self Stat Buffs,Double Buff,High,1,Buff,Multiply,0,,,,,,,,,,Exhaust,,,Doubled
279,Double the stacks of self action buffs/boost.,Double Boost,High,1,InstantBoost,Multiply,0,,,,,,,,,,Exhaust,,,Doubled
280,Double the stacks of your opponent's Stat Debuffs. ,Double Debuff,High,1,Debuff,Multiply,0,,,,,,,,,,Exhaust,,,Doubled
281,Double the stacks of your opponent's Vulnerables.,Double Vulnerable,High,1,Vulnerable,Multiply,0,,,,,,,,,,Exhaust,,,Doubled
282,Recover 1500 health.,Mega Potion,High,0,Heal,Null,1200,,,,,,,,,,Exhaust,,,Potion
283,Deal 150% of Strength damage to the opponent. Apply 3 Injury to the opponent.,Water Jet,High,1,Damage,Strength,6,Debuff,Injury,3,,,,,,,Water,,,Gloop
284,"Deal 40% of Strength, 40% of Strength, 40% of Strength and 40% of Strength damage to the opponent",Rampage,Master,1,Damage,Strength,3,Damage,Strength,3,Damage,Strength,3,Damage,Strength,3,,,,LaserSparks
285,Lose 10% of current Max Health. Deal 200% of Strength damage to the opponent,Gravity,Master,1,Sacrifice,MaxHP,1,Damage,Strength,7,,,,,,,Debuff,,,Orbit
286,Deal 200% of Strength damage to the opponent.,Heavy Axe Smash,Master,1,Damage,Strength,7,,,,,,,,,,,,,BattleAxe
287,"Remove all Elemental Status Effects, Elemental Vulnerables, Stat Debuffs and Stat Vulnerables from self. Recover 850 health.",Elixir,Master,0,Protect,Element,0,Protect,Debuff,0,Heal,Null,900,,,,Exhaust,,,Elixir
288,"Protect 150% Agility damage from attacks. Recover 10% of Agility, 10% of Agility and 10% o Agility health.",Velocity Circle,Master,2,Protect,Agility,6,Heal,Agility,2,Heal,Agility,2,Heal,Agility,2,,,,CircleSparks
289,Apply Stack Guard on self. Protect 150% of Strength damage from attacks. Recover 100% of Strength health.,Priwen,Master,2,Buff,Guard,0,Protect,Strength,6,Heal,Strength,5,,,,,,,BorderedShield
290,Remove all Stat Debuffs and Stat Vulnerables from self. Recover 25%/40% of  MaxHP  health.,Soul Mend,Master,1,Protect,Debuff,0,Heal,MaxHP,5,,,,,,,Spirit,,,Resonance
291,"Deal 15%/25% of MaxHP, 70% of Strength, 70% of Agility and 70% of Inteligence damage to the opponent",Element Fuse . Chaos,Master,2,Damage,MaxHP,3,Damage,Strength,4,Damage,Agility,4,Damage,Intelligence,4,Light,Dark,,DarkSpirit
292,Deal 200% of Intelligence damage to the opponent.,Element Fuse . Plasma,Master,1,Damage,Intelligence,7,,,,,,,,,,Thunder,Fire,,PlasmaBolt
293,Deal 100% of Intelligence damage to the opponent. Apply 1 Burn and 2 Blind to the opponent.,Element Fuse . Sunlight,Master,1,Damage,Intelligence,5,Debuff,Fire,1,Debuff,Light,2,,,,Light,Fire,,Sun
294,Apply 1 Intelligence Buff on self. Protect 70% Intelligence damage from attacks. Recover 70% of Intelligence health. Deal 70% of Intelligence damage to the opponent.,Element Fuse . Rainbow,Master,2,Buff,Intelligence,1,Protect,Intelligence,4,Heal,Intelligence,4,Damage,Intelligence,4,Light,Water,,RainbowStar
295,Apply 1 Agility Buff and 2 Agility Action Buff on self. Deal 150% of Agility damage to the opponent.,Sniper,Master,1,Buff,Agility,1,InstantBoost,Agility,2,Damage,Agility,6,,,,,,,Sniper
296,Apply Charge on self. Double the stacks of self action Buffs/boost.,Dead Focus,Master,1,InstantBoost,Charge,0,InstantBoost,Multiply,0,,,,,,,Exhaust,,,Focus
297,Apply 4 Strength Buff on self.,Strength Burst,Master,1,Buff,Strength,4,,,,,,,,,,Exhaust,,,BuffS
298,Apply 4 Agility Buff on self.,Agility Burst,Master,1,Buff,Agility,4,,,,,,,,,,Exhaust,,,BuffA
299,Apply 4 Intelligence Buff on self ,Intelligence Burst,Master,1,Buff,Intelligence,4,,,,,,,,,,Exhaust,,,BuffI
300,"Apply 3 Fire Vulnerable to the opponent. Consume all Fire Elements, for each element consumed, deal 40% Fire damage based on your strongest attribute. [Fire Finale at Max Stacks]",Blast Burn,Master,2,Vulnerable,Fire,3,Damage,Fire,3,,,,,,,Fire,Exhaust,,FireWave
301,"Apply 3 Wind Vulnerable to the opponent. Consume all Wind Elements, for each element consumed, deal 40% Wind damage based on your strongest attribute. [Wind Finale at Max Stacks]",Blizzard,Master,2,Vulnerable,Water,2,Damage,Water,3,Debuff,Water,1,,,,Water,Exhaust,,SnowFlake
302,"Apply 3 Water Vulnerable to the opponent. Consume all Water Elements, for each element consumed, deal 40% Water damage based on your strongest attribute. [Water Finale at Max Stacks]",Hydro Pump,Master,2,Vulnerable,Water,3,Damage,Water,3,,,,,,,Water,Exhaust,,GooExplosion
303,"Apply 3 Thunder Vulnerable to the opponent. Consume all Thunder Elements, for each Element consumed, deal 40% Thunder damage based on your strongest attribute [Thunder Finale at Max Stacks]",Thunderbolt,Master,2,Vulnerable,Thunder,3,Damage,Thunder,3,,,,,,,Thunder,Exhaust,,ThunderStruck
304,"Apply 3 Earth Vulnerable to the opponent. Consume all Earth Elements, for each Element consumed, deal 40% Earth damage based on your strongest Attribute [Earth finale at Max Stacks]",Earthquake,Master,2,Vulnerable,Earth,3,Damage,Earth,3,,,,,,,Earth,Exhaust,,EarthCrack
305,"Apply 3 Wind Vulnerable to the opponent. Consume all Wind Elements, for each Element consumed, deal 40% Wind damage based on your strongest Attribute [Wind Finale at Max Stacks]",Tornado,Master,2,Vulnerable,Wind,3,Damage,Wind,3,,,,,,,Wind,Exhaust,,Tornado
306,"Apply 3 Light Vunerable to the opponent. Consume all Light Elements, for each element consumed, deal 40% Light damage based on your Strongest Attribute [Light Finale at Max stacks]",Holy Flare,Master,2,Vulnerable,Light,3,Damage,Light,3,,,,,,,Light,Exhaust,,EclipseFlare
307,"Apply 3Dark Vulnerable to the opponent. Consume all Dark Elements, for each element consumed, deal 40% Dark damage basedon your strongest attribute [Dark Finale atmax stacks].",Diabolic Chaos,Master,2,Vulnerable,Dark,3,Damage,Dark,3,,,,,,,Dark,Exhaust,,DarkSpirit
308,"Apply 1 Second Chance on self. Consume all Fire elements, for each element consumed, Fire heal for 40% based on your strongest attribute [Fire Enchant at Max Stacks]",Undying Flame,Master,2,Protect,Guard,1,Heal,Fire,3,,,,,,,Fire,Exhaust,,FlameLeaf
309,"Remove all Stat Debuffs and Stat Vulnerables from self. Consume all Water elements, for each element consumed, Water heal for 40% based on your strongest element.",Fountain Of Life,Master,2,Protect,Debuff,0,Heal,Water,3,,,,,,,Water,Exhaust,,WaterFountain
310,"Apply 5 Thunder Vulnerable to the opponent. Consume all Thunder Elements, for each consumed, Thunder heal for 40% based on your strongest attribute [Thunder Enchant at Max Stacks].",Voltage Burst,Master,2,Vulnerable,Thunder,5,Heal,Thunder,3,,,,,,,Thunder,Exhaust,,Energise
311,"Apply Gurd and Stack Guard on self. Consume all Earth Elements, for each element consumed, Earth heal for 40% based on your strongest attribute [Earth Enchant at Max Stacks]",Gaia Blessing,Master,2,InstantBoost,Guard,0,Buff,Guard,0,Heal,Earth,3,,,,Earth,Exhaust,,Sprout
312,"Next turn Draw +2. Consume all Wind Elements, for each element consumed, Wind heal for 40% based on your strongest attribute [Wind Enchant at Max Stacks.",Miracle Wind,Master,2,Buff,Draw,2,Heal,Wind,3,,,,,,,Wind,Exhaust,,Breeze
313,,Radiant Light,Master,2,Protect,Element,2,Heal,Light,3,,,,,,,Light,Exhaust,,Sunbeams
314,"Apply Charge and Stack Charge on self. Consume all Dark Elements, for each element consumed, Dark heal for 40% based on your strongest attribute [Dark Enchant at max stacks]",Call Of The Void,Master,2,InstantBoost,Charge,0,Buff,Charge,0,Heal,Dark,3,,,,Dark,Exhaust,,DarkSquad
315,Deal 300% of Intelligence damage to the opponent. Apply 1 Paralysis on self.,Hyper Beam,Master,2,Damage,Intelligence,8,Sacrifice,Thunder,1,,,,,,,Charge,Exhaust,,RingedBeam
316,Remove all Venom from the opponent. Deal 15% damage from each removed based on opponent's Strength.,Poison Burst,Master,0,Damage,Venom,0,,,,,,,,,,Exhaust,,,Venom
317,"Remove all Restrain from the opponent, deal 15% for each removed based on opponent's Agility. ",Force Unchained,Master,0,Damage,Restrain,0,,,,,,,,,,Exhaust,,,Restrain
318,"Remove all Insane from the opponent, deal 15% damage for each removed based on opponent's Intelligence",Mental Torment,Master,0,Damage,Insane,0,,,,,,,,,,Exhaust,,,Insane
319,,Curse,Curse,0,Curse,Element,1,Buff,Element,2,,,,,,,Curse,,,Curse
320,,Strength Curse,Curse,1,Curse,Strength,2,Debuff,Strength,3,,,,,,,Curse,,,CurseS
321,,Agility Curse,Curse,1,Curse,Agility,2,Debuff,Agility,3,,,,,,,Curse,,,CurseA
322,(Player only) While this ability is in your deck start every combat with 2 Intelligence Debuff. Apply 3 Intelligence Debuff to the opponent.,Intelligence Curse,Curse,1,Curse,Intelligence,2,Debuff,Intelligence,3,,,,,,,Curse,,,CurseI
323,,Health Curse,Curse,1,Curse,MaxHP,2,Debuff,MaxHP,3,,,,,,,Curse,,,CurseH
324,,Cursed Fire,Curse,1,Sacrifice,MaxHP,2,Buff,Fire,3,,,,,,,Curse,,,CurseFire
325,,Cursed Water,Curse,1,Sacrifice,MaxHP,2,Buff,Water,3,,,,,,,Curse,,,CurseWater
326,,Cursed Thunder,Curse,1,Sacrifice,MaxHP,2,Buff,Thunder,3,,,,,,,Curse,,,CurseThunder
327,,Cursed Earth,Curse,1,Sacrifice,MaxHP,2,Buff,Earth,3,,,,,,,Curse,,,CurseEarth
328,,Cursed Wind,Curse,1,Sacrifice,MaxHP,2,Buff,Wind,3,,,,,,,Curse,,,CurseWind
329,,Cursed Light,Curse,1,Sacrifice,MaxHP,2,Buff,Light,3,,,,,,,Curse,,,CurseLight
330,,Cursed Dark,Curse,1,Sacrifice,MaxHP,2,Buff,Dark,3,,,,,,,Curse,,,CurseDark
331,,Burned,Curse,1,Curse,Fire,2,Debuff,Fire,3,,,,,,,Curse,,,CurseBurn
332,,Chilling,Curse,0,Curse,Water,1,Debuff,Water,1,,,,,,,Curse,,,CurseChill
333,,Paralyzed,Curse,1,Curse,Thunder,2,Debuff,Thunder,3,,,,,,,Curse,,,CurseParalysis
334,,Dizzing,Curse,1,Curse,Wind,2,Debuff,Wind,3,,,,,,,Curse,,,CurseDizzy
335,,Seeded,Curse,1,Curse,Earth,2,Debuff,Earth,3,,,,,,,Curse,,,CurseSeed
336,,Blinded,Curse,1,Curse,Light,2,Debuff,Light,3,,,,,,,Curse,,,CurseBlind
337,,Depressing,Curse,1,Curse,Dark,2,Debuff,Dark,3,,,,,,,Curse,,,CurseDepress
